assignment_group,total_incidents,sla_compliance_rate,median_resolution_hours,reassignment_rate
Group 70,9444,83.84159254553155,0.3333333333333333,21.08216857263871
,2157,48.63235975892443,50.525,83.03198887343532
Group 25,1243,42.799678197908285,111.7,57.84392598551891
Group 39,1199,68.80733944954129,18.816666666666663,77.89824854045038
Group 24,1060,64.81132075471699,24.95,53.9622641509434
Group 23,811,58.69297163995068,27.8,70.65351418002466
Group 64,716,89.10614525139665,0.05,14.385474860335195
Group 73,576,53.99305555555556,58.166666666666664,59.548611111111114
Group 28,545,53.57798165137615,49.2,63.6697247706422
Group 27,518,58.301158301158296,29.299999999999997,53.66795366795367
Group 20,394,41.62436548223351,91.475,71.31979695431471
Group 66,376,30.319148936170215,207.76666666666665,42.819148936170215
Group 72,367,36.78474114441417,123.33333333333331,80.92643051771117
Group 10,343,25.072886297376094,402.3666666666667,41.690962099125365
Group 65,336,43.452380952380956,79.0,38.98809523809524
Group 57,313,31.948881789137378,167.15,53.35463258785943
Group 55,293,61.092150170648466,7.666666666666667,44.36860068259386
Group 30,268,62.68656716417911,26.28333333333333,60.447761194029844
Group 29,257,37.7431906614786,148.16666666666666,54.474708171206224
Group 6,257,44.3579766536965,120.85,67.70428015564202
Group 22,239,45.60669456066946,70.83333333333333,40.58577405857741
Group 31,205,31.70731707317073,101.11666666666666,52.19512195121951
Group 33,201,38.80597014925373,114.5,59.20398009950249
Group 54,200,47.0,75.6,75.0
Group 76,189,41.7989417989418,102.35,45.5026455026455
Group 37,176,25.0,249.76666666666665,47.72727272727273
Group 56,167,60.47904191616767,28.0,82.63473053892216
Group 46,166,70.48192771084338,3.6999999999999997,45.78313253012048
Group 48,162,50.0,88.69166666666666,48.148148148148145
Group 58,142,64.7887323943662,26.275,38.732394366197184
Group 5,140,47.85714285714286,23.75,21.428571428571427
Group 12,123,13.008130081300814,311.46666666666664,59.34959349593496
Group 49,108,75.0,5.225,50.92592592592593
Group 74,105,30.476190476190478,150.01666666666668,74.28571428571429
Group 3,99,17.17171717171717,314.4166666666667,51.515151515151516
Group 9,96,2.083333333333333,3855.3416666666667,70.83333333333334
Group 53,93,51.61290322580645,32.13333333333333,47.31182795698925
Group 69,73,65.75342465753424,1.9333333333333331,58.9041095890411
Group 75,60,5.0,553.2666666666667,40.0
Group 15,58,1.7241379310344827,536.2416666666667,75.86206896551724
Group 21,58,39.6551724137931,117.73333333333332,50.0
Group 34,51,72.54901960784314,19.9,23.52941176470588
Group 50,51,25.49019607843137,91.15,72.54901960784314
Group 47,45,66.66666666666666,25.6,42.22222222222222
Group 68,45,44.44444444444444,94.38333333333334,66.66666666666666
Group 59,44,43.18181818181818,70.9,86.36363636363636
Group 62,43,62.7906976744186,26.6,88.37209302325581
Group 61,38,13.157894736842104,597.6833333333334,84.21052631578947
Group 51,38,44.73684210526316,134.51666666666665,68.42105263157895
Group 19,37,78.37837837837837,10.383333333333333,21.62162162162162
Group 13,36,50.0,123.375,97.22222222222221
Group 60,24,79.16666666666666,23.25,91.66666666666666
Group 26,24,12.5,295.925,95.83333333333334
Group 35,17,5.88235294117647,1821.0666666666664,82.35294117647058
Group 14,13,0.0,697.15,76.92307692307693
Group 45,11,45.45454545454545,22.766666666666666,63.63636363636363
Group 17,11,9.090909090909092,341.85,72.72727272727273
Group 44,9,88.88888888888889,66.61666666666666,11.11111111111111
Group 32,8,62.5,60.358333333333334,100.0
Group 43,8,75.0,51.375,100.0
Group 2,7,57.14285714285714,5.866666666666666,85.71428571428571
Group 63,7,14.285714285714285,2380.6,100.0
Group 67,6,16.666666666666664,1214.95,50.0
Group 18,2,0.0,5269.258333333333,100.0
Group 36,2,50.0,0.09999999999999995,100.0
Group 8,2,50.0,98.05,100.0
Group 71,2,0.0,1861.9333333333334,100.0
Group 41,1,100.0,53.43333333333333,0.0
Group 7,1,0.0,755.9,100.0
Group 77,1,0.0,448.51666666666665,100.0
Group 80,1,0.0,5132.5,100.0
