assignment_group,total_incidents,sla_met,sla_compliance_rate,median_resolution_hours,average_resolution_hours,median_reassignments,reassignment_rate,sla_breached
Group 10,343,86,25.072886297376094,402.3666666666667,597.1559766763849,0.0,41.690962099125365,257
Group 66,376,114,30.319148936170215,207.76666666666665,498.59389483065956,0.0,42.819148936170215,262
Group 31,205,65,31.70731707317073,101.11666666666666,758.2970731707317,1.0,52.19512195121951,140
Group 57,313,100,31.948881789137378,167.15,312.57321618743345,1.0,53.35463258785943,213
Group 72,367,135,36.78474114441417,123.33333333333331,311.16080835604,1.0,80.92643051771117,232
Group 29,257,97,37.7431906614786,148.16666666666666,205.5579766536965,1.0,54.474708171206224,160
Group 33,201,78,38.80597014925373,114.5,406.81990049751244,1.0,59.20398009950249,123
Group 20,394,164,41.62436548223351,91.475,230.12817258883248,1.0,71.31979695431471,230
Group 25,1243,532,42.799678197908285,111.7,251.94373826763206,1.0,57.84392598551891,711
Group 65,336,146,43.452380952380956,79.0,243.77927927927928,0.0,38.98809523809524,190
Group 6,257,114,44.3579766536965,120.85,305.2547341115434,1.0,67.70428015564202,143
Group 22,239,109,45.60669456066946,70.83333333333333,237.25934449093444,0.0,40.58577405857741,130
Group 54,200,94,47.0,75.6,146.49133333333333,1.0,75.0,106
,2157,1049,48.63235975892443,50.525,106.37360853432283,1.0,83.03198887343532,1108
Group 28,545,292,53.57798165137615,49.2,135.38134556574923,1.0,63.6697247706422,253
Group 73,576,311,53.99305555555556,58.166666666666664,124.71122685185186,1.0,59.548611111111114,265
Group 27,518,302,58.301158301158296,29.299999999999997,123.843564993565,1.0,53.66795366795367,216
Group 23,811,476,58.69297163995068,27.8,245.2225647348952,1.0,70.65351418002466,335
Group 55,293,179,61.092150170648466,7.666666666666667,91.88139931740615,0.0,44.36860068259386,114
Group 30,268,168,62.68656716417911,26.28333333333333,233.44869402985074,1.0,60.447761194029844,100
Group 24,1060,687,64.81132075471699,24.95,136.59123386842933,1.0,53.9622641509434,373
Group 39,1199,825,68.80733944954129,18.816666666666663,71.96146788990826,1.0,77.89824854045038,374
Group 70,9444,7918,83.84159254553155,0.3333333333333333,50.22280624077588,0.0,21.08216857263871,1526
Group 64,716,638,89.10614525139665,0.05,18.75428305400372,0.0,14.385474860335195,78
