category,total_incidents,sla_compliance_rate,median_resolution_hours,reassignment_rate
Category 42,3558,80.63518830803822,0.6333333333333333,34.654300168634066
Category 26,3338,69.53265428400239,5.583333333333333,47.87297783103655
Category 53,2678,62.32262882748319,27.883333333333333,47.05003734129948
Category 46,2432,48.4375,65.70833333333333,44.28453947368421
Category 32,1522,75.22996057818659,1.1416666666666666,31.47174770039422
Category 9,1155,59.22077922077922,45.766666666666666,29.43722943722944
Category 37,1144,66.34615384615384,22.549999999999997,46.15384615384615
Category 23,1063,52.49294449670743,46.3,87.01787394167451
Category 20,1047,76.981852913085,1.9,43.075453677172874
Category 57,971,59.835221421215245,42.583333333333336,64.46961894953655
Category 61,810,47.03703703703704,95.38333333333333,60.617283950617285
Category 24,640,52.65625000000001,72.21666666666667,43.4375
Category 45,602,25.91362126245847,147.73333333333332,34.38538205980066
Category 28,551,70.96188747731398,0.1833333333333333,39.7459165154265
Category 51,549,80.14571948998179,0.2,18.579234972677597
Category 35,517,91.10251450676982,0.25,20.6963249516441
Category 34,501,33.532934131736525,404.7166666666666,68.46307385229541
Category 40,436,38.99082568807339,73.08333333333334,75.0
Category 44,302,50.0,25.566666666666666,55.960264900662246
Category 19,245,46.93877551020408,61.11666666666667,52.244897959183675
Category 43,153,61.43790849673203,19.258333333333333,56.209150326797385
Category 13,126,60.317460317460316,50.28333333333333,80.15873015873017
Category 55,106,20.754716981132077,169.325,57.54716981132076
Category 17,79,55.69620253164557,19.666666666666668,58.22784810126582
Category 8,56,46.42857142857143,31.3,28.57142857142857
Category 22,52,19.230769230769234,374.4083333333333,55.769230769230774
Category 38,42,59.523809523809526,31.23333333333333,80.95238095238095
Category 56,40,52.5,49.974999999999994,62.5
Category 7,31,38.70967741935484,115.81666666666666,48.38709677419355
Category 54,30,90.0,6.741666666666667,30.0
Category 50,24,100.0,9.133333333333333,12.5
Category 33,16,6.25,678.95,43.75
Category 31,15,80.0,27.216666666666665,46.666666666666664
Category 63,11,45.45454545454545,23.03333333333333,54.54545454545454
Category 5,10,100.0,0.14999999999999994,0.0
Category 21,8,87.5,58.08333333333333,100.0
Category 59,7,57.14285714285714,183.025,42.857142857142854
,7,57.14285714285714,0.4,0.0
Category 47,6,33.33333333333333,239.40833333333333,83.33333333333334
Category 52,5,100.0,1.05,20.0
Category 4,5,80.0,65.03333333333333,20.0
Category 2,5,100.0,0.9666666666666668,60.0
Category 62,4,25.0,109.64999999999999,75.0
Category 25,4,75.0,29.55,50.0
Category 29,3,33.33333333333333,40.41666666666666,100.0
Category 10,3,66.66666666666666,114.96666666666668,66.66666666666666
Category 6,2,50.0,116.69166666666668,0.0
Category 16,2,100.0,2.966666666666667,50.0
Category 12,1,100.0,53.43333333333333,0.0
Category 30,1,0.0,174.61666666666667,100.0
Category 14,1,100.0,87.76666666666667,100.0
Category 48,1,0.0,257.78333333333336,100.0
Category 58,1,100.0,11.816666666666666,100.0
