category,total_incidents,sla_met,sla_compliance_rate,median_resolution_hours,average_resolution_hours,median_reassignments,reassignment_rate,sla_breached
Category 45,602,156,25.91362126245847,147.73333333333332,481.7460384833051,0.0,34.38538205980066,446
Category 34,501,168,33.532934131736525,404.7166666666666,1326.3179024716098,1.0,68.46307385229541,333
Category 40,436,170,38.99082568807339,73.08333333333334,152.81501610305958,1.0,75.0,266
Category 19,245,115,46.93877551020408,61.11666666666667,277.64781420765024,1.0,52.244897959183675,130
Category 61,810,381,47.03703703703704,95.38333333333333,182.36662541254125,1.0,60.617283950617285,429
Category 46,2432,1178,48.4375,65.70833333333333,316.02092529711376,0.0,44.28453947368421,1254
Category 44,302,151,50.0,25.566666666666666,153.80929054054056,1.0,55.960264900662246,151
Category 23,1063,558,52.49294449670743,46.3,151.58135860979465,1.0,87.01787394167451,505
Category 24,640,337,52.65625000000001,72.21666666666667,279.6803101997897,0.0,43.4375,303
Category 9,1155,684,59.22077922077922,45.766666666666666,156.22983942908118,0.0,29.43722943722944,471
Category 57,971,581,59.835221421215245,42.583333333333336,161.84143253555325,1.0,64.46961894953655,390
Category 53,2678,1669,62.32262882748319,27.883333333333333,128.12459090323412,0.0,47.05003734129948,1009
Category 37,1144,759,66.34615384615384,22.549999999999997,129.43313600485732,0.0,46.15384615384615,385
Category 26,3338,2321,69.53265428400239,5.583333333333333,83.29273125342091,0.0,47.87297783103655,1017
Category 28,551,391,70.96188747731398,0.1833333333333333,115.23048109965636,0.0,39.7459165154265,160
Category 32,1522,1145,75.22996057818659,1.1416666666666666,64.9340825446898,0.0,31.47174770039422,377
Category 20,1047,806,76.981852913085,1.9,58.5031149301826,0.0,43.075453677172874,241
Category 51,549,440,80.14571948998179,0.2,40.68759124087591,0.0,18.579234972677597,109
Category 42,3558,2869,80.63518830803822,0.6333333333333333,98.54767367750159,0.0,34.654300168634066,689
Category 35,517,471,91.10251450676982,0.25,23.59360380116959,0.0,20.6963249516441,46
