reassignment_count,total_incidents,sla_met,sla_compliance_rate,median_resolution_hours,average_resolution_hours,median_reassignments,reassignment_rate,sla_breached
0,13549,10621,78.3895490442099,0.6833333333333333,94.983898469827,0.0,0.0,2928
1,6238,3560,57.069573581276046,42.05,173.31584510811388,1.0,100.0,2678
2,2283,910,39.85983355234341,102.96666666666668,315.6270258431888,2.0,100.0,1373
3,1234,406,32.90113452188007,146.10000000000002,372.6025391680173,3.0,100.0,828
4,695,175,25.179856115107913,186.1,418.61328537170266,4.0,100.0,520
5,381,85,22.30971128608924,208.46666666666667,449.42554680664915,5.0,100.0,296
6,183,26,14.207650273224044,283.6666666666667,580.1066484517304,6.0,100.0,157
7,143,12,8.391608391608392,315.7333333333333,485.91503496503503,7.0,100.0,131
8,70,5,7.142857142857142,357.7916666666667,521.4909523809524,8.0,100.0,65
9,52,1,1.9230769230769231,336.45833333333337,644.9820512820513,9.0,100.0,51
10,31,0,0.0,477.28333333333336,558.9279569892473,10.0,100.0,31
11,18,1,5.555555555555555,504.5083333333333,495.27037037037036,11.0,100.0,17
12,17,1,5.88235294117647,485.81666666666666,694.9147058823529,12.0,100.0,16
13,7,0,0.0,457.6,503.8047619047619,13.0,100.0,7
14,5,0,0.0,598.9,886.0733333333334,14.0,100.0,5
15,3,0,0.0,390.3666666666667,459.99444444444447,15.0,100.0,3
16,1,0,0.0,549.2833333333333,549.2833333333333,16.0,100.0,1
17,1,0,0.0,239.13333333333333,239.13333333333333,17.0,100.0,1
18,2,0,0.0,1610.2166666666667,1610.2166666666667,18.0,100.0,2
20,3,0,0.0,460.51666666666665,473.2944444444445,20.0,100.0,3
22,1,0,0.0,722.3833333333333,722.3833333333333,22.0,100.0,1
27,1,0,0.0,1174.2,1174.2,27.0,100.0,1
